User Input,Response,sentiment,entities,context
she raised you and all you ever give her is a card,it's okay. she knows that i love her.,,,raised
i dont like our flag,what's the matter with it?,,,like
whats the matter with it,it's too much like other flags.,,,s
its too much like other flags,"yes, a lot of flags have stripes.",,,much
yes a lot of flags have stripes,a flag should be pretty.,,,have
a flag should be pretty,what should our flag look like?,,,be
what should our flag look like,it should have a pretty woman on it.,,,look
it should have a pretty woman on it,that's ridiculous!,,,have
thats ridiculous,you don't like pretty women?,,,s
you dont like pretty women,of course i do. but not on our flag!,,,like
of course i do but not on our flag,every nation should have a pretty woman on their flag.,,,do
every nation should have a pretty woman on their flag,you can't go to war carrying a flag with a woman on it!,,,have
i had a busy morning,what did you do?,,,had
what did you do,i watered all the plants.,,,do
i watered all the plants,you have a lot of plants.,,,watered
you have a lot of plants,then i did my laundry.,,,have
then i did my laundry,that takes some time.,,,did
that takes some time,i took the dog for a walk.,,,takes
i took the dog for a walk,i'll bet he enjoyed his walk.,,,took
ill bet he enjoyed his walk,i vacuumed the entire house.,,,enjoyed
i vacuumed the entire house,that's a lot of work.,,,vacuumed
thats a lot of work,and then i made lunch.,,,s
and then i made lunch,i'll bet you were hungry!,,,made
i dont have long distance service with my home phone,so how do you make long distance calls?,,,have
so how do you make long distance calls,i use a calling card.,,,make
i use a calling card,where do you get that?,,,use
where do you get that,i buy it at the dollar store.,,,get
i buy it at the dollar store,how much is it?,,,buy
how much is it,it's one dollar for 100 minutes.,,,is
its one dollar for  minutes,that's only a penny a minute!,,,dollar
thats only a penny a minute,it's a great price. but you have to dial a lot of numbers.,,,s
its a great price but you have to dial a lot of numbers,how many?,,,price have
how many,"first you dial seven numbers, then ten numbers, then ten more numbers.",,,many
first you dial seven numbers then ten numbers then ten more numbers,yikes. i think i'll keep my long distance service.,,,dial
do you go to college,"yes, i do.",,,go
yes i do,what college do you go to?,,,do
what college do you go to,i go to pasadena city college.,,,go
i go to pasadena city college,do you like it?,,,go
do you like it,"oh, yes, i really like it.",,,like
oh yes i really like it,why do you like it?,,,oh like
why do you like it,because it has great teachers.,,,like
because it has great teachers,what else?,,,has
what else,"i like all my classmates, too.",,,what
i like all my classmates too,anything else?,,,like
anything else,yes. it's not expensive!,,,anything
i lost my new pen,where did you lose it?,,,lost
where did you lose it,i don't know.,,,lose
i dont know,when did you lose it?,,,know
when did you lose it,i think i lost it today. i used it yesterday.,,,lose
i think i lost it today i used it yesterday,did you check all your pockets?,,,think
did you check all your pockets,i checked all my pockets.,,,check
i checked all my pockets,did you look in your desk?,,,checked
did you look in your desk,"yes. it isn't there, either.",,,look
yes it isnt there either,it's probably around somewhere.,,,is
its probably around somewhere,"oh, well, it only cost me a dollar.",,,its
oh well it only cost me a dollar,only a dollar? don't even look for it.,,,cost
gravity is very important,what is gravity?,,,is
what is gravity,it's the force that pulls everything down.,,,is
its the force that pulls everything down,i don't understand.,,,force
i dont understand,"if you pour water into a glass, the water goes down into the glass.",,,understand
if you pour water into a glass the water goes down into the glass,of course it does.,,,pour
of course it does,"without gravity, the water would go up.",,,does
without gravity the water would go up,you're joking.,,,go
youre joking,"without gravity, you would go up.",,,joking
without gravity you would go up,what do you mean?,,,go
what do you mean,you would float into the sky like a balloon.,,,mean
you would float into the sky like a balloon,that would be fun!,,,float
i cant read my book,turn on the light.,,,read
turn on the light,the light is on.,,,turn
the light is on,open the book.,,,is
open the book,the book is open.,,,open
the book is open,see an eye doctor.,,,is
see an eye doctor,that's what i need to do.,,,see
thats what i need to do,he'll give you a prescription for glasses.,,,s
hell give you a prescription for glasses,i'll make an appointment tomorrow.,,,give
ill make an appointment tomorrow,i'll get the yellow pages for an eye doctor.,,,make
ill get the yellow pages for an eye doctor,read the phone number to me.,,,get
read the phone number to me,"i'll read it very loud, in case your hearing is getting bad, too.",,,read
what do you need for school,i need pencils.,,,need
i need pencils,anything else?,,,need
anything else,i need a notebook.,,,anything
i need a notebook,do you need a pen?,,,need
do you need a pen,no. i already have a pen.,,,need
no i already have a pen,do you need a calculator?,,,have
do you need a calculator,no. the teacher doesn't permit calculators.,,,need
no the teacher doesnt permit calculators,how about a dictionary?,,,permit
how about a dictionary,"no, we have a big dictionary in the classroom.",,,dictionary
no we have a big dictionary in the classroom,"well, i guess that's it.",,,have
well i guess thats it,"yes, that's all i need for now.",,,guess
i like this magazine,so do i.,,,like
so do i,"i read it once, and i subscribed.",,,do
i read it once and i subscribed,it gives you all the news.,,,read subscribed
it gives you all the news,all the news in only 50 pages.,,,gives
all the news in only  pages,i like the political cartoons.,,,news
i like the political cartoons,i like the beautiful photos of the houses for sale.,,,like
i like the beautiful photos of the houses for sale,i always read the film reviews.,,,like
i always read the film reviews,i never miss the food and drink section.,,,read
i never miss the food and drink section,i gave a subscription to my parents.,,,miss
i gave a subscription to my parents,me too. they canceled their other news magazines.,,,gave
me too they canceled their other news magazines,so did mine!,,,canceled
my pen is out of ink,shake it a couple of times.,,,is
shake it a couple of times,i shook it. there is no more ink.,,,shake
i shook it there is no more ink,you can borrow mine.,,,shook
you can borrow mine,thank you. i'll buy a new one tomorrow.,,,borrow
thank you ill buy a new one tomorrow,what were you doing?,,,thank
what were you doing,i was writing a letter.,,,doing
i was writing a letter,who were you writing to?,,,writing
who were you writing to,it's to my mom.,,,writing
its to my mom,tell her i said hello.,,,its
tell her i said hello,okay. i'll return your pen when i'm done.,,,tell
okay ill return your pen when im done,take your time.,,,return
have you done your homework,not yet.,,,done
not yet,then why are you watching tv?,,,yet
then why are you watching tv,this is my favorite show.,,,watching
this is my favorite show,go do your homework.,,,is
go do your homework,"but, mom!",,,go
but mom,you can watch tv after you do your homework.,,,mom
you can watch tv after you do your homework,but the show will be over.,,,watch
but the show will be over,there will be another show next week.,,,be
there will be another show next week,please?,,,be
please,you know the rules.,,,please
you know the rules,i hate the rules! i can't wait till i grow up.,,,know
i cant wait until i graduate,me too.,,,wait
me too,no more homework.,,,me
no more homework,i hate homework.,,,homework
i hate homework,are you going to college?,,,hate
are you going to college,i can't afford it.,,,going
i cant afford it,me neither.,,,afford
me neither,so what are you going to do?,,,me
so what are you going to do,i'm joining the army.,,,going
im joining the army,you're kidding. you might get killed.,,,joining
youre kidding you might get killed,"i don't think so. after i finish, i'll have enough money to go to college.",,,kidding
i dont think so after i finish ill have enough money to go to college,that's not a bad idea.,,,think
what is your major,english.,,,is
english,what are you going to do with an english major?,,,english
what are you going to do with an english major,i'm going to be a teacher.,,,going
im going to be a teacher,high school or middle school?,,,going
high school or middle school,high school.,,,school
high school,i teach high school english.,,,school
i teach high school english,i didn't know that.,,,teach
i didnt know that,i started teaching five years ago.,,,know
i started teaching five years ago,how do you like it?,,,started
how do you like it,do you see all this gray hair? it was totally black five years ago.,,,like
do you see all this gray hair it was totally black five years ago,maybe i'll teach middle school.,,,see
parking at school is impossible,i'll say.,,,is
ill say,i drove around for half an hour.,,,say
i drove around for half an hour,did you find a spot?,,,drove
did you find a spot,"i found a spot, but someone cut in and took it from me.",,,find
i found a spot but someone cut in and took it from me,did you yell at them?,,,found
did you yell at them,"yes, i did.",,,yell
yes i did,and?,,,did
and,and he yelled back at me.,,,and
and he yelled back at me,how rude.,,,yelled
how rude,but i got lucky a few minutes later.,,,rude
but i got lucky a few minutes later,you have to be lucky to find a parking space.,,,got
this is a huge library,"yes, it has lots of rooms and lots of space.",,,is
yes it has lots of rooms and lots of space,and lots of books.,,,has
and lots of books,and lots of thieves.,,,lots
and lots of thieves,what do you mean?,,,lots
what do you mean,"i mean, keep your belongings close to you.",,,mean
i mean keep your belongings close to you,the only thing in my backpack is used books.,,,keep
the only thing in my backpack is used books,but thieves don't know that.,,,used
but thieves dont know that,they might think that i've got an ipod or laptop in there.,,,know
they might think that ive got an ipod or laptop in there,now you're thinking.,,,think
now youre thinking,you'd think a library would be safe from thieves.,,,thinking
youd think a library would be safe from thieves,not even a church is safe from thieves.,,,think
how good is your math,i can add two and two.,,,is
i can add two and two,so you're not very good at math?,,,add
so youre not very good at math,i'm terrible at math.,,,re
im terrible at math,"well, i need some help.",,,m
well i need some help,with what?,,,need
with what,i'm taking a math course in school.,,,with
im taking a math course in school,"well, you should ask your teacher or your classmates for help.",,,taking
well you should ask your teacher or your classmates for help,i can't do that.,,,ask
i cant do that,why not?,,,do
why not,they might think i'm stupid.,,,not
they might think im stupid,they're not going to think that! they'll be glad to help you.,,,think
do you believe in god,of course.,,,believe
of course,do you pray to god?,,,of
do you pray to god,occasionally.,,,pray
occasionally,when's that?,,,occasionally
whens that,when i need something.,,,s
when i need something,like what?,,,need
like what,"well, if i have a big test at school.",,,like
well if i have a big test at school,does god answer your prayers?,,,have
does god answer your prayers,"yes, i've passed all my tests.",,,answer
yes ive passed all my tests,do you ever pray for money?,,,passed
do you ever pray for money,not yet. i won't need to do that until i graduate from high school.,,,pray
the cops finally found the husband,what husband?,,,found
what husband,the husband of the driver who ran over two college students at 3 a.m.,,,husband
the husband of the driver who ran over two college students at  am,"oh, yeah. the girl died instantly, and the boy is still in the hospital.",,,husband
oh yeah the girl died instantly and the boy is still in the hospital,the husband said he tried to help the boy.,,,oh died
the husband said he tried to help the boy,"yes, he pushed him off the hood of the car.",,,said
yes he pushed him off the hood of the car,"no, he said he gently placed the boy on the street.",,,pushed
no he said he gently placed the boy on the street,so what? they still drove off.,,,said
so what they still drove off,the husband said a fire department was nearby.,,,drove
the husband said a fire department was nearby,so what? did he dial 911?,,,said
so what did he dial ,"he said he was thinking about it, but he didn't get around to it.",,,dial
he said he was thinking about it but he didnt get around to it,"he didn't get around to turning himself in, either.",,,said get
i dont like riding the bus,why not?,,,like
why not,the seats and windows are dirty.,,,not
the seats and windows are dirty,don't they clean the bus every night?,,,are
dont they clean the bus every night,i think they do.,,,clean
i think they do,you should bring some wipes with you.,,,think
you should bring some wipes with you,that's a good idea.,,,bring
thats a good idea,then you can wipe your seat and window.,,,s
then you can wipe your seat and window,people will think i'm strange.,,,wipe
people will think im strange,who cares? everyone is strange.,,,think
who cares everyone is strange,that's for sure.,,,cares
thats for sure,don't worry about what people think.,,,s
why not,"number one, it's too slow.",,,not
number one its too slow,you're right. a car is faster.,,,slow
youre right a car is faster,"number two, it's usually late.",,,re
number two its usually late,you're right. the buses are never on time.,,,late
youre right the buses are never on time,"number three, it doesn't run 24 hours.",,,re
number three it doesnt run  hours,you're right. buses don't run late at night.,,,run
youre right buses dont run late at night,"number four, it's too crowded.",,,re
number four its too crowded,you're right. you have to stand in the aisle.,,,crowded
youre right you have to stand in the aisle,"number five, it's unsafe.",,,re
number five its unsafe,you're right. bad guys might rob you.,,,unsafe
we had a problem at school,what was the problem?,,,had
what was the problem,someone cut the tires.,,,was
someone cut the tires,what tires?,,,cut
what tires,the tires on the cars.,,,tires
the tires on the cars,where were the cars?,,,tires
where were the cars,they were in the student parking lot.,,,were
they were in the student parking lot,how many tires were cut?,,,were
how many tires were cut,one or two tires were cut on each car.,,,cut
one or two tires were cut on each car,how many cars?,,,cut
how many cars,eleven cars.,,,cars
eleven cars,that's terrible. i hope they catch the person.,,,cars
life isnt fair,it sure isn't.,,,is
it sure isnt,i got a ticket yesterday.,,,is
i got a ticket yesterday,what for?,,,got
what for,i was crossing the street.,,,for
i was crossing the street,were you in a crosswalk?,,,crossing
were you in a crosswalk,"yes, but the red hand was blinking.",,,were
yes but the red hand was blinking,so? that's a ticket?,,,blinking
so thats a ticket,"yes, it's a $140 ticket.",,,s
yes its a  ticket,that's not right!,,,ticket
thats not right,"when i started to cross the street, the white walk sign was blinking.",,,s
when i started to cross the street the white walk sign was blinking,you need to walk faster.,,,blinking
youre driving too fast,why do you say that?,,,driving
why do you say that,the speed limit is 65.,,,say
the speed limit is ,i know that.,,,is
i know that,but you're doing 75.,,,know
but youre doing ,so is everyone else.,,,doing
so is everyone else,but a cop might stop you.,,,is
but a cop might stop you,"no, he won't. some cars are doing 85.",,,stop
no he wont some cars are doing ,so the cop will stop those cars?,,,doing
so the cop will stop those cars,of course. he stops the fastest cars.,,,stop
of course he stops the fastest cars,my friend got a ticket for doing 75.,,,stops
my friend got a ticket for doing ,your friend was unlucky.,,,got
remember to put air in your tires,how often do i have to do that?,,,remember
how often do i have to do that,once every two months.,,,have
once every two months,that's a lot.,,,months
thats a lot,what do you mean?,,,s
what do you mean,that's six times a year!,,,mean
thats six times a year,"yes, and it takes about five minutes each time.",,,s
yes and it takes about five minutes each time,i'll try.,,,takes
ill try,check your tires or you'll get a flat.,,,try
check your tires or youll get a flat,oh. that's not good.,,,check
oh thats not good,"no, it isn't. a flat costs you time and money.",,,s
no it isnt a flat costs you time and money,and i don't have either.,,,is
youre driving too fast,i'm in a hurry.,,,driving
im in a hurry,don't ever be in a hurry.,,,m
dont ever be in a hurry,it's not my fault. you didn't wake me up.,,,be
its not my fault you didnt wake me up,that's not my fault. you didn't tell me to wake you up.,,,wake
thats not my fault you didnt tell me to wake you up,"well, i meant to.",,,s
well i meant to,don't ever be in a hurry when you're driving.,,,meant
dont ever be in a hurry when youre driving,why not?,,,be
why not,because you'll have an accident. most accidents are because people are in a hurry.,,,not
because youll have an accident most accidents are because people are in a hurry,how do you know that?,,,are
how do you know that,i read a lot.,,,know
i read a lot,i thought drunks caused most accidents.,,,read
lets go for a ride,where are we going?,,,go
where are we going,into the mountains.,,,going
into the mountains,that sounds nice.,,,into
that sounds nice,i want to show you my new car.,,,sounds
i want to show you my new car,you bought a new car?,,,want
you bought a new car,yes. i bought a cadillac.,,,bought
yes i bought a cadillac,a luxury car.,,,bought
a luxury car,luxury plus speed.,,,car
luxury plus speed,what are we waiting for?,,,luxury
what are we waiting for,let me get the keys.,,,waiting
let me get the keys,let me get my camera.,,,let
i have to go to the bathroom,why didn't you go before we left?,,,have
why didnt you go before we left,"i did, but i have to go again.",,,go
i did but i have to go again,"well, hold on a little longer.",,,did have
well hold on a little longer,i think i'm going to explode.,,,hold
i think im going to explode,just hold on.,,,think
just hold on,oh! don't hit any more bumps!,,,hold
oh dont hit any more bumps,we'll be at mcdonald's in just a few minutes.,,,hit
well be at mcdonalds in just a few minutes,i hope they are fast minutes.,,,be
i hope they are fast minutes,think about something else. think about a hamburger.,,,hope
think about something else think about a hamburger,"i'm thinking, but i still have to go.",,,think
im thinking but i still have to go,it's the next exit. hold on!,,,thinking have
wheres the car,what do you mean?,,,s
what do you mean,the car isn't here.,,,mean
the car isnt here,where did you park it?,,,is
where did you park it,i parked it right here.,,,park
i parked it right here,are you sure?,,,parked
are you sure,yes. i remember this big tree.,,,are
yes i remember this big tree,maybe it's the wrong tree.,,,remember
maybe its the wrong tree,"no, this is the tree.",,,tree
no this is the tree,did someone steal it?,,,is
did someone steal it,i sure hope not.,,,steal
i sure hope not,maybe they towed it away.,,,hope
look at this traffic,i'd rather not.,,,look
id rather not,it gets worse every year.,,,i
it gets worse every year,why are you complaining? we're going almost 20 miles an hour.,,,gets
why are you complaining were going almost  miles an hour,the speed limit is 65!,,,complaining
the speed limit is ,"well, that's between 2:00 and 4:00 a.m.",,,is
well thats between  and  am,where are all these people going?,,,s
where are all these people going,they're all asking the same question.,,,going
theyre all asking the same question,when are they going to fix this problem?,,,asking
when are they going to fix this problem,they said they need more money.,,,going
they said they need more money,they always need more money.,,,said
they always need more money,it'll get worse before it gets better.,,,need
did you see that car,"yes, he went through the red light.",,,see
yes he went through the red light,can we call the police?,,,went
can we call the police,"no, the police don't care.",,,call
no the police dont care,why not?,,,care
why not,they have to see it happen.,,,not
they have to see it happen,they don't believe us?,,,have
they dont believe us,no. they can only give a ticket if they see it happen.,,,believe
no they can only give a ticket if they see it happen,"so, what do we do?",,,give
so what do we do,we don't do anything.,,,do
we dont do anything,maybe we should honk the horn next time.,,,do
maybe we should honk the horn next time,the driver will just honk back at us.,,,honk
my car is dirty,why don't you wash it?,,,is
why dont you wash it,that's what i'm going to do.,,,wash
thats what im going to do,are you going to wash it yourself?,,,s
are you going to wash it yourself,of course. it's not a hard job.,,,going
of course its not a hard job,i'll help you.,,,job
ill help you,"okay, i'll get a bucket.",,,help
okay ill get a bucket,i'll rinse the car first.,,,get
ill rinse the car first,then we can scrub it with a wet sponge and soap.,,,rinse
then we can scrub it with a wet sponge and soap,"after that, we can dry it with a towel.",,,scrub
after that we can dry it with a towel,then it will look like new,,,dry
then it will look like new,and you save $10.,,,look
it sure is windy today,paper is flying everywhere.,,,is
paper is flying everywhere,this wind is dangerous for drivers.,,,flying
this wind is dangerous for drivers,especially for drivers of big trucks.,,,is
especially for drivers of big trucks,the wind blows those trucks over.,,,for
the wind blows those trucks over,"it blows trees over, too.",,,blows
it blows trees over too,a tree fell onto my dad's car.,,,blows
a tree fell onto my dads car,was there much damage?,,,fell
was there much damage,my dad had to buy a new car.,,,was
my dad had to buy a new car,wow! that's terrible.,,,had
wow thats terrible,never park your car under a tree.,,,s
never park your car under a tree,"the wind will get you, or the birds will get you.",,,park
when are we going to stop,we'll stop at the next mcdonald's.,,,going
well stop at the next mcdonalds,how far away is that?,,,stop
how far away is that,i think we'll be there in half an hour.,,,is
i think well be there in half an hour,i hope so. i have to go to the bathroom.,,,think
i hope so i have to go to the bathroom,"well, i can always pull over.",,,hope
well i can always pull over,"no, thank you, i'll just wait.",,,pull
no thank you ill just wait,we can kill two birds with one stone.,,,thank
we can kill two birds with one stone,what do you mean?,,,kill
what do you mean,"while you're using the bathroom, i'll order some food.",,,mean
while youre using the bathroom ill order some food,don't order for me. i'm not hungry.,,,using
dont order for me im not hungry,"i'm very hungry. i'll order for you, and then i'll eat yours.",,,order
this is such a long light,look how many cars are waiting in line.,,,is
look how many cars are waiting in line,they need a left-turn arrow.,,,look
they need a leftturn arrow,only two cars can make a left turn every three or four minutes.,,,need
only two cars can make a left turn every three or four minutes,we'll be here forever.,,,make
well be here forever,get out of this lane.,,,be
get out of this lane,but we need to turn left.,,,get
but we need to turn left,forget it. go straight.,,,need
forget it go straight,then what?,,,forget
then what,then we'll just make a u-turn.,,,what
then well just make a uturn,and then we can turn right at the light.,,,make
and then we can turn right at the light,good idea. it will be so much quicker.,,,turn
i need a cheap car,how much money do you have?,,,need
how much money do you have,"$1,000.00 ",,,have
 ,"well, that should get you something.",,, 
well that should get you something,but i need something that's reliable.,,,get
but i need something thats reliable,you need a car with low mileage.,,,need
you need a car with low mileage,a car that was owned by a little old lady.,,,need
a car that was owned by a little old lady,where have you looked?,,,car
where have you looked,i haven't looked anywhere yet.,,,looked
i havent looked anywhere yet,why not?,,,looked
why not,because i'll never find one for such a low price.,,,not
because ill never find one for such a low price,you're right about that. keep saving your money.,,,find
good afternoon officer,"your driver's license and registration, please.",,,officer
your drivers license and registration please,here you go.,,,license
here you go,do you know why i pulled you over?,,,go
do you know why i pulled you over,i have no idea. all of a sudden i heard your siren.,,,know
i have no idea all of a sudden i heard your siren,you rolled through that stop sign back there.,,,heard
you rolled through that stop sign back there,but i stopped!,,,rolled
but i stopped,"no, you didn't. you slowed down, but you didn't come to a full stop.",,,stopped
no you didnt you slowed down but you didnt come to a full stop,"well, nobody else does, so why should i?",,,slowed
well nobody else does so why should i,that's not the attitude of a good driver.,,,does
thats not the attitude of a good driver,but i am a good driver. i've never had a ticket in my life.,,,s
but i am a good driver ive never had a ticket in my life,"well, you've got one now. here. have a nice day.",,,am
 i cant believe it,what are you talking about?,,,believe
what are you talking about,i got a ticket downtown for $140.,,,talking
i got a ticket downtown for ,were you speeding?,,,got
were you speeding,"no, i was crossing the street.",,,speeding
no i was crossing the street,were you jaywalking?,,,crossing
were you jaywalking,"no, i was in the crosswalk.",,,jaywalking
no i was in the crosswalk,so why did you get a ticket?,,,was
so why did you get a ticket,the officer said the red hand was blinking.,,,get
the officer said the red hand was blinking,was it blinking when you entered the crosswalk?,,,said
was it blinking when you entered the crosswalk,"no, the white walk sign was blinking.",,,blinking
no the white walk sign was blinking,you should fight that ticket. i'll be your witness.,,,blinking
they were in a crosswalk near school at  am,who?,,,were
who,two students from usc.,,,who
two students from usc,what happened?,,,students
what happened,"a speeding car ran a red light, killing the girl.",,,happened
a speeding car ran a red light killing the girl,what happened to the other student?,,,ran
what happened to the other student,he landed on the hood of the car.,,,happened
he landed on the hood of the car,did he get off the hood?,,,landed
did he get off the hood,"no, the car stopped and the passenger pushed the injured student off the hood.",,,get
no the car stopped and the passenger pushed the injured student off the hood,i'll bet the car continued on its way.,,,stopped
ill bet the car continued on its way,of course it did. why stop after you've run over two people?,,,bet
of course it did why stop after youve run over two people,i hope they find them and put them in jail for life.,,,did
what happened to your car,i got a dent in the parking lot.,,,happened
i got a dent in the parking lot,how did you get it?,,,got
how did you get it,i don't know. maybe it was from a shopping cart.,,,get
i dont know maybe it was from a shopping cart,those shopping carts are dangerous.,,,know
those shopping carts are dangerous,especially the metal ones.,,,are
especially the metal ones,i don't park at a store that uses metal shopping carts.,,,ones
i dont park at a store that uses metal shopping carts,"that's a good idea, but there was a good sale at this store.",,,park
thats a good idea but there was a good sale at this store,did you save any money on the sale?,,,s
did you save any money on the sale,"yes, i did. i saved about $50.",,,save
yes i did i saved about ,that's great.,,,saved
thats great,"yes, except this dent will cost about $150.",,,s
did you see titanic,yes. it is a great movie.,,,see
yes it is a great movie,i saw it twelve times.,,,is
i saw it twelve times,i saw it eight times.,,,saw
i saw it eight times,i have the dvd.,,,saw
i have the dvd,so do i.,,,have
so do i,let's go to your home.,,,do
lets go to your home,we can watch my dvd.,,,go
we can watch my dvd,and then we can go to my home.,,,watch
and then we can go to my home,and watch your dvd.,,,go
and watch your dvd,i always cry at the end.,,,watch
i always cry at the end,me too. it's so sad.,,,cry
lets play cards,i don't know any card games.,,,lets
i dont know any card games,i'll teach you one.,,,know
ill teach you one,okay. what will you teach me?,,,teach
okay what will you teach me,it's called poker.,,,teach
its called poker,is it easy to learn?,,,poker
is it easy to learn,"yes, it will only take about 30 minutes.",,,is
yes it will only take about  minutes,okay. teach me how to play.,,,take
okay teach me how to play,we each get five cards.,,,teach
we each get five cards,"oh, look. i have four tens.",,,get
oh look i have four tens,"that's great, but you're not supposed to tell me.",,,have
thats great but youre not supposed to tell me,"oh. sorry. okay, i don't have four tens.",,,s supposed
im a good card player,why is that?,,,m
why is that,because i watch the other players.,,,is
because i watch the other players,what do you mean?,,,watch
what do you mean,people will tell you if they have a good hand.,,,mean
people will tell you if they have a good hand,how do they do that?,,,tell
how do they do that,"for example, a friend of mine licks his lips.",,,do
for example a friend of mine licks his lips,"when he licks his lips, you know he has a good hand?",,,licks
when he licks his lips you know he has a good hand,"i know he has a good hand, so i don't bet.",,,has
i know he has a good hand so i dont bet,he never wins your money?,,,know bet
he never wins your money,"nope, and it drives him crazy.",,,wins
nope and it drives him crazy,he knows you can't read his mind. maybe he thinks you're cheating.,,,drives
turn the radio down please,but i'm listening to it.,,,turn
but im listening to it,"well, listen to it more quietly.",,,listening
well listen to it more quietly,i can't wait till i grow up.,,,listen
i cant wait till i grow up,what will you do?,,,wait
what will you do,i will play the radio as loud as i want.,,,do
i will play the radio as loud as i want,that's okay with me.,,,play
thats okay with me,i will have a radio in every room of my house.,,,s
i will have a radio in every room of my house,remind me to never visit you.,,,have
remind me to never visit you,all the radios will be on extra loud.,,,remind
all the radios will be on extra loud,your neighbors will hate you.,,,be
your neighbors will hate you,"if they don't like it, they can move.",,,hate
i hope i win the lotto,your chances are very small.,,,hope
your chances are very small,but you can't win if you don't play.,,,are
but you cant win if you dont play,ha! you can't win if you do play.,,,win
ha you cant win if you do play,someone has to win.,,,win
someone has to win,that's what everyone says.,,,has
thats what everyone says,it might as well be me.,,,s
it might as well be me,that's what everyone says.,,,be
thats what everyone says,you're trying to tell me something.,,,s
youre trying to tell me something,that didn't take long.,,,trying
that didnt take long,you think i should quit playing.,,,take
you think i should quit playing,save your money for school.,,,think
whats on tv,nothing much.,,,s
nothing much,what about the baseball game?,,,nothing
what about the baseball game,it got rained out.,,,about
it got rained out,rained out?,,,rained
rained out,"yes, rained out.",,,rained
yes rained out,how could that be?,,,rained
how could that be,"well, you can't play baseball in a rainstorm.",,,be
well you cant play baseball in a rainstorm,i thought they were playing under a dome.,,,play
i thought they were playing under a dome,the dome doesn't close.,,,thought
the dome doesnt close,why doesn't it close?,,,close
why doesnt it close,who knows? they said they'll fix it before next season.,,,close
can i try your coffee,sure. here you go.,,,try
sure here you go,"hmm, that's not bad.",,,go
hmm thats not bad,there's nothing in it.,,,s
theres nothing in it,what do you mean?,,,s
what do you mean,"i mean, it's just coffee.",,,mean
i mean its just coffee,i figured that.,,,mean
i figured that,it's not too bitter for you?,,,figured
its not too bitter for you,"it's a little bitter, but it's okay.",,,its
its a little bitter but its okay,there's no sugar or cream in it.,,,bitter
theres no sugar or cream in it,"no, it's a taste you have to get used to.",,,s
no its a taste you have to get used to,sort of like beer.,,,taste
lets take a walk,what's the weather like?,,,take
whats the weather like,let me step outside and see.,,,s
let me step outside and see,"it's a little chilly, right?",,,let
its a little chilly right,"yes, it is.",,,right
yes it is,i'll put on my cap.,,,is
ill put on my cap,"wear a jacket, too.",,,put
wear a jacket too,i wonder if i should bring my gloves.,,,wear
i wonder if i should bring my gloves,"maybe you should, just in case it gets colder.",,,wonder
maybe you should just in case it gets colder,i'll put a glove in each pocket.,,,gets
ill put a glove in each pocket,we'll get warmer as we walk.,,,put
well get warmer as we walk,"yes, but it gets colder as the sun goes down.",,,get
look at the car chase on tv,that driver is crazy.,,,look
that driver is crazy,i can't believe he hasn't crashed.,,,is
i cant believe he hasnt crashed,how fast is he going?,,,believe
how fast is he going,they say he's going 80 miles per hour.,,,going
they say hes going  miles per hour,he's going to kill someone.,,,say
hes going to kill someone,look! he just hit that car.,,,going
look he just hit that car,"oh, my goodness. no one is safe on the streets.",,,hit
oh my goodness no one is safe on the streets,now he's slowing down.,,,is
now hes slowing down,maybe he ran out of gas.,,,slowing
maybe he ran out of gas,look! he just got out of the car and started running.,,,ran
look he just got out of the car and started running,i hope the police catch him.,,,got
tv news is so stupid,they shouldn't even call it news.,,,is
they shouldnt even call it news,last night they told us about a cat in a sofa.,,,call
last night they told us about a cat in a sofa,yesterday they told us about a dog in a pipe.,,,told
yesterday they told us about a dog in a pipe,last week they told us about a bear in a back yard.,,,told
last week they told us about a bear in a back yard,last month they told us about a mouse in a restaurant.,,,told
last month they told us about a mouse in a restaurant,the weatherman tells us the temperature in every town.,,,told
the weatherman tells us the temperature in every town,the sports guy shows us players fighting.,,,tells
the sports guy shows us players fighting,"they always tell us ""what's next.""",,,shows
they always tell us whats next,"they always make ""what's next"" sound exciting, but it never is.",,,tell
they always make whats next sound exciting but it never is,it's more like news for kids.,,,make
its more like news for kids,they should have kid reporters.,,,news
i love my computer,computers are so cool.,,,love
computers are so cool,i love to go online.,,,are
i love to go online,the internet is amazing.,,,love
the internet is amazing,you can travel all over the world.,,,is
you can travel all over the world,i know. i went to china yesterday.,,,travel
i know i went to china yesterday,what did you do?,,,went
what did you do,i stood on the great wall and looked all around.,,,do
i stood on the great wall and looked all around,what was it like?,,,stood
what was it like,it was like the real thing.,,,was
it was like the real thing,it was like being there?,,,was
it was like being there,"yes, i felt like i was actually there.",,,was
the beatles are the best,they are the best musical group ever.,,,are
they are the best musical group ever,i love all their songs.,,,are
i love all their songs,i don't know which one i like the best.,,,love
i dont know which one i like the best,i like the ones i can sing along with.,,,know
i like the ones i can sing along with,"so do i, like ""she loves you.""",,,like
so do i like she loves you,"she loves you, yeah, yeah, yeah!...",,,loves
she loves you yeah yeah yeah,and you know you should be glad!,,,loves yeah yeah yeah
and you know you should be glad,what a great song.,,, be
what a great song,"how about ""let it be?""",,,song
how about let it be,"oh, yes! ""let it be, let it be""",,,let
oh yes let it be let it be,"there will be an answer, let it be!",,,let
lets go to a movie,i'd rather not.,,,go
id rather not,why not?,,,i
